Filename,Label,seg_Start,seg_End,t_ms,CPP,strF0,Column1
second_sample.mat,second_sample.mat,1,3000,409,7.267,206.065,
second_sample.mat,second_sample.mat,1,3000,410,8.075,206.051,
second_sample.mat,second_sample.mat,1,3000,411,7.323,206.1,
second_sample.mat,second_sample.mat,1,3000,412,8.245,206.138,
second_sample.mat,second_sample.mat,1,3000,413,8.315,206.205,
second_sample.mat,second_sample.mat,1,3000,414,7.969,206.204,
second_sample.mat,second_sample.mat,1,3000,415,7.864,206.135,
second_sample.mat,second_sample.mat,1,3000,416,10.213,206.094,
second_sample.mat,second_sample.mat,1,3000,417,8.021,206.05,
second_sample.mat,second_sample.mat,1,3000,418,7.384,206.062,
second_sample.mat,second_sample.mat,1,3000,419,8.337,206.034,
second_sample.mat,second_sample.mat,1,3000,420,8.22,206.127,
second_sample.mat,second_sample.mat,1,3000,421,7.28,206.073,
second_sample.mat,second_sample.mat,1,3000,422,8.022,206.167,
second_sample.mat,second_sample.mat,1,3000,423,7.287,206.124,
second_sample.mat,second_sample.mat,1,3000,424,7.707,206.02,
second_sample.mat,second_sample.mat,1,3000,425,7.571,205.989,
second_sample.mat,second_sample.mat,1,3000,426,7.806,205.903,
second_sample.mat,second_sample.mat,1,3000,427,7.472,206.007,
second_sample.mat,second_sample.mat,1,3000,428,8.704,205.981,
second_sample.mat,second_sample.mat,1,3000,429,8.321,206.1,
second_sample.mat,second_sample.mat,1,3000,430,7.383,206.135,
second_sample.mat,second_sample.mat,1,3000,431,7.706,206.181,
second_sample.mat,second_sample.mat,1,3000,432,7.277,206.238,
second_sample.mat,second_sample.mat,1,3000,433,7.272,206.199,
